# Oscilloscope file ./20201025_015218.bin
# Channel 2
Time / s;Voltage / V
138.75;-0.012
139;-0.008
139.25;-0.018
139.5;-0.012
139.75;-0.014
140;-0.008
140.25;-0.02
140.5;-0.014
140.75;-0.014
141;-0.008
141.25;-0.02
141.5;-0.016
141.75;-0.014
142;-0.01
142.25;-0.022
142.5;-0.014
142.75;-0.018
143;-0.012
143.25;-0.024
143.5;-0.014
143.75;-0.018
144;-0.012
144.25;-0.024
144.5;-0.018
144.75;-0.016
145;-0.012
145.25;-0.024
145.5;-0.018
145.75;-0.02
146;-0.014
146.25;-0.026
146.5;-0.022
146.75;-0.018
147;-0.016
147.25;-0.028
147.5;-0.022
147.75;-0.022
148;-0.016
148.25;-0.028
148.5;-0.024
148.75;-0.024
149;-0.018
149.25;-0.03
149.5;-0.024
149.75;-0.024
150;-0.02
150.25;-0.03
150.5;-0.026
150.75;-0.026
151;-0.02
151.25;-0.032
151.5;-0.026
151.75;-0.028
152;-0.022
152.25;-0.032
152.5;-0.028
152.75;-0.028
153;-0.024
153.25;-0.034
153.5;-0.028
153.75;-0.03
154;-0.024
154.25;-0.034
154.5;-0.03
154.75;-0.03
155;-0.024
155.25;-0.036
155.5;-0.032
155.75;-0.032
156;-0.026
156.25;-0.036
156.5;-0.032
156.75;-0.032
157;-0.028
157.25;-0.038
157.5;-0.034
157.75;-0.034
158;-0.028
158.25;-0.04
158.5;-0.034
158.75;-0.036
159;-0.03
159.25;-0.042
159.5;-0.036
159.75;-0.038
160;-0.03
160.25;-0.042
160.5;-0.036
160.75;-0.038
161;-0.032
161.25;-0.042
161.5;-0.038
161.75;-0.042
162;-0.032
162.25;-0.044
162.5;-0.04
162.75;-0.04
163;-0.034
163.25;-0.044
163.5;-0.038
163.75;-0.038
164;-0.034
164.25;-0.046
164.5;-0.04
164.75;-0.04
165;-0.036
165.25;-0.046
165.5;-0.04
165.75;-0.04
166;-0.036
166.25;-0.046
166.5;-0.042
166.75;-0.044
167;-0.036
167.25;-0.048
167.5;-0.044
167.75;-0.044
168;-0.036
168.25;-0.048
168.5;-0.042
168.75;-0.042
169;-0.036
169.25;-0.048
169.5;-0.042
169.75;-0.042
170;-0.038
170.25;-0.05
170.5;-0.044
170.75;-0.044
171;-0.038
171.25;-0.048
171.5;-0.044
171.75;-0.044
172;-0.038
172.25;-0.05
172.5;-0.046
172.75;-0.042
173;-0.04
173.25;-0.05
173.5;-0.044
173.75;-0.044
174;-0.04
174.25;-0.05
174.5;-0.048
174.75;-0.044
175;-0.04
175.25;-0.05
175.5;-0.046
175.75;-0.046
176;-0.04
176.25;-0.05
176.5;-0.046
176.75;-0.046
177;-0.042
177.25;-0.052
177.5;-0.046
177.75;-0.05
178;-0.04
178.25;-0.052
178.5;-0.046
178.75;-0.044
179;-0.042
179.25;-0.052
179.5;-0.044
179.75;-0.046
180;-0.042
180.25;-0.052
180.5;-0.048
180.75;-0.046
181;-0.04
181.25;-0.052
181.5;-0.046
181.75;-0.046
182;-0.04
182.25;-0.052
182.5;-0.046
182.75;-0.046
183;-0.042
183.25;-0.052
183.5;-0.046
183.75;-0.046
184;-0.042
184.25;-0.052
184.5;-0.046
184.75;-0.046
185;-0.04
185.25;-0.052
185.5;-0.048
185.75;-0.046
186;-0.042
186.25;-0.052
186.5;-0.046
186.75;-0.046
187;-0.04
187.25;-0.052
187.5;-0.046
187.75;-0.044
188;-0.04
188.25;-0.05
188.5;-0.044
188.75;-0.046
189;-0.04
189.25;-0.052
189.5;-0.044
189.75;-0.046
190;-0.04
190.25;-0.05
190.5;-0.046
190.75;-0.046
191;-0.038
191.25;-0.052
191.5;-0.048
191.75;-0.044
192;-0.04
192.25;-0.05
192.5;-0.046
192.75;-0.044
193;-0.04
193.25;-0.05
193.5;-0.044
193.75;-0.042
194;-0.038
194.25;-0.052
194.5;-0.044
194.75;-0.044
195;-0.04
195.25;-0.05
195.5;-0.044
195.75;-0.044
196;-0.04
196.25;-0.05
196.5;-0.044
196.75;-0.044
197;-0.038
197.25;-0.05
197.5;-0.044
197.75;-0.044
198;-0.038
198.25;-0.048
198.5;-0.044
198.75;-0.044
199;-0.038
199.25;-0.048
199.5;-0.042
199.75;-0.044
200;-0.036
200.25;-0.048
200.5;-0.044
200.75;-0.042
201;-0.038
201.25;-0.048
201.5;-0.044
201.75;-0.042
202;-0.038
202.25;-0.046
202.5;-0.042
202.75;-0.042
203;-0.036
203.25;-0.046
203.5;-0.042
203.75;-0.044
204;-0.036
204.25;-0.048
204.5;-0.044
204.75;-0.042
205;-0.036
205.25;-0.046
205.5;-0.042
205.75;-0.042
206;-0.036
206.25;-0.046
206.5;-0.042
206.75;-0.04
207;-0.034
207.25;-0.044
207.5;-0.04
207.75;-0.04
208;-0.034
208.25;-0.044
208.5;-0.042
208.75;-0.04
209;-0.034
209.25;-0.046
209.5;-0.038
209.75;-0.04
210;-0.034
210.25;-0.044
210.5;-0.04
210.75;-0.04
211;-0.034
211.25;-0.044
211.5;-0.036
211.75;-0.038
212;-0.034
212.25;-0.044
212.5;-0.038
212.75;-0.038
213;-0.032
213.25;-0.042
213.5;-0.038
213.75;-0.038
214;-0.034
214.25;-0.044
214.5;-0.038
214.75;-0.038
215;-0.032
215.25;-0.042
215.5;-0.038
215.75;-0.038
216;-0.032
216.25;-0.042
216.5;-0.038
216.75;-0.04
217;-0.032
217.25;-0.042
217.5;-0.038
217.75;-0.036
218;-0.032
218.25;-0.042
218.5;-0.038
218.75;-0.036
219;-0.03
219.25;-0.04
219.5;-0.036
219.75;-0.038
220;-0.03
220.25;-0.042
220.5;-0.036
220.75;-0.036
221;-0.03
221.25;-0.04
221.5;-0.036
221.75;-0.034
222;-0.03
222.25;-0.04
222.5;-0.036
222.75;-0.036
223;-0.03
223.25;-0.042
223.5;-0.034
223.75;-0.034
224;-0.026
224.25;-0.04
224.5;-0.034
224.75;-0.034
225;-0.03
225.25;-0.04
225.5;-0.032
225.75;-0.036
226;-0.028
226.25;-0.038
226.5;-0.034
226.75;-0.034
227;-0.028
227.25;-0.04
227.5;-0.034
227.75;-0.036
228;-0.028
228.25;-0.038
228.5;-0.034
228.75;-0.032
229;-0.028
229.25;-0.038
229.5;-0.032
229.75;-0.032
230;-0.026
230.25;-0.038
230.5;-0.032
230.75;-0.034
231;-0.026
231.25;-0.038
231.5;-0.032
231.75;-0.03
232;-0.026
232.25;-0.036
232.5;-0.032
232.75;-0.03
233;-0.026
233.25;-0.038
233.5;-0.03
233.75;-0.032
234;-0.026
234.25;-0.038
234.5;-0.03
234.75;-0.032
235;-0.026
235.25;-0.036
235.5;-0.032
235.75;-0.032
236;-0.022
236.25;-0.036
236.5;-0.032
236.75;-0.03
237;-0.024
237.25;-0.034
237.5;-0.028
237.75;-0.03
238;-0.024
238.25;-0.034
238.5;-0.028
238.75;-0.028
239;-0.024
239.25;-0.034
239.5;-0.028
239.75;-0.032
240;-0.022
240.25;-0.034
240.5;-0.026
240.75;-0.028
241;-0.024
241.25;-0.034
241.5;-0.028
241.75;-0.028
242;-0.022
242.25;-0.034
242.5;-0.026
242.75;-0.028
243;-0.022
243.25;-0.034
243.5;-0.024
243.75;-0.026
244;-0.02
244.25;-0.032
244.5;-0.028
244.75;-0.024
245;-0.02
245.25;-0.03
245.5;-0.026
245.75;-0.026
246;-0.02
246.25;-0.032
246.5;-0.022
246.75;-0.024
247;-0.02
247.25;-0.03
247.5;-0.024
247.75;-0.026
248;-0.018
248.25;-0.03
248.5;-0.022
248.75;-0.024
249;-0.018
249.25;-0.03
249.5;-0.024
249.75;-0.024
250;-0.018
250.25;-0.028
250.5;-0.022
250.75;-0.022
251;-0.016
251.25;-0.028
251.5;-0.022
251.75;-0.02
252;-0.016
252.25;-0.026
252.5;-0.022
252.75;-0.022
253;-0.016
253.25;-0.026
253.5;-0.018
253.75;-0.02
254;-0.014
254.25;-0.026
254.5;-0.018
254.75;-0.018
255;-0.014
255.25;-0.024
255.5;-0.018
255.75;-0.018
256;-0.014
256.25;-0.024
256.5;-0.018
256.75;-0.016
257;-0.012
257.25;-0.022
257.5;-0.016
257.75;-0.018
258;-0.012
258.25;-0.022
258.5;-0.016
258.75;-0.016
259;-0.01
259.25;-0.022
259.5;-0.014
259.75;-0.018
260;-0.008
260.25;-0.02
260.5;-0.016
260.75;-0.012
261;-0.008
261.25;-0.02
261.5;-0.01
261.75;-0.012
262;-0.008
262.25;-0.018
262.5;-0.014
262.75;-0.01
263;-0.006
263.25;-0.018
263.5;-0.01
263.75;-0.01
264;-0.006
264.25;-0.018
264.5;-0.008
264.75;-0.01
265;-0.004
265.25;-0.016
265.5;-0.006
265.75;-0.01
266;-0.004
266.25;-0.014
266.5;-0.01
266.75;-0.01
267;-0.002
267.25;-0.014
267.5;-0.008
267.75;-0.006
268;-0.002
268.25;-0.014
268.5;-0.006
268.75;-0.006
269;0
269.25;-0.014
269.5;-0.006
269.75;-0.008
270;0
270.25;-0.014
270.5;-0.004
270.75;-0.004
271;0
271.25;-0.012
271.5;-0.004
271.75;-0.006
272;0
272.25;-0.012
272.5;-0.004
272.75;-0.004
273;0.002
273.25;-0.01
273.5;-0.002
273.75;-0.004
274;0.002
274.25;-0.01
274.5;-0.004
274.75;-0.004
275;0.004
275.25;-0.01
275.5;-0.002
275.75;-0.002
276;0.004
276.25;-0.01
276.5;-0.002
276.75;0.002
277;0.004
277.25;-0.008
277.5;-0.002
277.75;-0.004
278;0.004
278.25;-0.008
278.5;0
278.75;0
279;0.004
279.25;-0.008
279.5;-0.002
279.75;0
280;0.006
280.25;-0.006
280.5;0.002
280.75;0.002
281;0.006
281.25;-0.008
281.5;-0.002
281.75;0
282;0.006
282.25;-0.008
282.5;0
282.75;0
283;0.006
283.25;-0.006
283.5;0
283.75;0.004
284;0.008
284.25;-0.008
284.5;0
284.75;0
285;0.006
285.25;-0.006
285.5;0
285.75;0.002
286;0.008
286.25;-0.006
286.5;0
286.75;-0.002
287;0.008
287.25;-0.006
287.5;0.002
